userid,timestamp,eventprocessedutctime,partitionid,eventenqueuedutctime,breathingrate,temperature,ventilization,activity,heartratebpm,cadence,velocity,speed,hib,heartrateredzone,heartratevariability,scored labels,scored probabilities,id,companyname,imageurl,firstname,lastname,username,type,phone,email,adminfname,adminlname,adminuname,admintype,adminphone,adminemail
435942dd-be1f-4c8e-b63f-b26adfd308f8,2017-03-07T21:00:01.5486334Z,2017-03-07T21:00:04.9477284Z,0,2017-03-07T21:00:04.9710000Z,17.63556196,96.8394534014349,,0.143335552,92,4,11.7734070191245,0,0,0,4.40013548487013,N,2.40940644289367E-05,435942dd-be1f-4c8e-b63f-b26adfd308f8,The Complicated Badger,/images/ElolonnaDrahaua.png,Elolonna,Drahaua,Elolonna.Drahaua,3,8725551212,Elolonna.Drahaua@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
fc540bfa-136a-4733-b87d-d6d20eeae310,2017-03-07T21:00:01.5655654Z,2017-03-07T21:00:04.9477284Z,2,2017-03-07T21:00:04.1260000Z,17.3872044,96.8283018021976,,0.1303065,90,0,0,0,2,0,7.27537445402831,N,2.40940644289367E-05,fc540bfa-136a-4733-b87d-d6d20eeae310,The Complicated Badger,/images/JilonnaAnimesh.png,Jilonna,Animesh,Jilonna.Animesh,3,8725551212,Jilonna.Animesh@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
51798043-860e-4e1f-8804-d6d72724b4a7,2017-03-07T21:00:01.7439641Z,2017-03-07T21:00:05.1977326Z,2,2017-03-07T21:00:04.2980000Z,18.93943915,96.3562442373281,,0.211738075,102,25,68.6232164054404,1,0,0,8.53480742917539,N,2.40940644289367E-05,51798043-860e-4e1f-8804-d6d72724b4a7,The Complicated Badger,/images/BreniverMardahaga.png,Breniver,Mardahaga,Breniver.Mardahaga,3,8725551212,Breniver.Mardahaga@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
d7caa4ec-dc04-449a-bd5c-3b1dc19573c0,2017-03-07T21:00:01.7720590Z,2017-03-07T21:00:05.1977326Z,1,2017-03-07T21:00:05.8820000Z,18.25645586,96.025009334099,,0.175908182,97,14,37.5883983001321,0,1,0,5.33327153919004,N,2.40940644289367E-05,d7caa4ec-dc04-449a-bd5c-3b1dc19573c0,The Complicated Badger,/images/JillAniua.png,Jill,Aniua,Jill.Aniua,3,8725551212,Jill.Aniua@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
7b335331-75a9-4c95-8fd5-de13101287a8,2017-03-07T21:00:05.2755070Z,2017-03-07T21:00:08.7162675Z,0,2017-03-07T21:00:08.7090000Z,19.99495878,96.2924127472995,,0.267111546,111,42,115.861711828532,1,0,0,6.15248789877987,N,2.40940644289367E-05,7b335331-75a9-4c95-8fd5-de13101287a8,The Complicated Badger,/images/AlaebryllaAnshuga.png,Alaebrylla,Anshuga,Alaebrylla.Anshuga,3,8725551212,Alaebrylla.Anshuga@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
435942dd-be1f-4c8e-b63f-b26adfd308f8,2017-03-07T21:00:06.8895498Z,2017-03-07T21:00:10.2944180Z,0,2017-03-07T21:00:10.3250000Z,17.63556196,96.6308599052163,,0.143335552,92,4,11.8797565797779,0,0,0,4.36275323840451,N,2.40940644289367E-05,435942dd-be1f-4c8e-b63f-b26adfd308f8,The Complicated Badger,/images/ElolonnaDrahaua.png,Elolonna,Drahaua,Elolonna.Drahaua,3,8725551212,Elolonna.Drahaua@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
fc540bfa-136a-4733-b87d-d6d20eeae310,2017-03-07T21:00:06.8980013Z,2017-03-07T21:00:10.2944180Z,2,2017-03-07T21:00:09.4600000Z,17.3872044,96.8660393165732,,0.1303065,90,0,0,0,2,0,7.23145829491108,N,2.40940644289367E-05,fc540bfa-136a-4733-b87d-d6d20eeae310,The Complicated Badger,/images/JilonnaAnimesh.png,Jilonna,Animesh,Jilonna.Animesh,3,8725551212,Jilonna.Animesh@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
d7caa4ec-dc04-449a-bd5c-3b1dc19573c0,2017-03-07T21:00:07.6198863Z,2017-03-07T21:00:11.0443878Z,1,2017-03-07T21:00:11.7320000Z,18.31854525,96.8697427017008,,0.179165445,97,15,40.7807093960694,0,1,0,5.33731067541525,N,2.40940644289367E-05,d7caa4ec-dc04-449a-bd5c-3b1dc19573c0,The Complicated Badger,/images/JillAniua.png,Jill,Aniua,Jill.Aniua,3,8725551212,Jill.Aniua@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
51798043-860e-4e1f-8804-d6d72724b4a7,2017-03-07T21:00:07.6842102Z,2017-03-07T21:00:11.1694090Z,2,2017-03-07T21:00:10.2410000Z,18.93943915,96.3561840366368,,0.211738075,102,25,68.5350104369756,1,0,0,8.64936271697725,N,2.40940644289367E-05,51798043-860e-4e1f-8804-d6d72724b4a7,The Complicated Badger,/images/BreniverMardahaga.png,Breniver,Mardahaga,Breniver.Mardahaga,3,8725551212,Breniver.Mardahaga@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
7b335331-75a9-4c95-8fd5-de13101287a8,2017-03-07T21:00:10.9921355Z,2017-03-07T21:00:14.4511127Z,0,2017-03-07T21:00:14.4210000Z,20.05704817,96.2256659931623,,0.270368809,111,43,117.610486093724,1,0,0,6.13019045158285,N,2.40940644289367E-05,7b335331-75a9-4c95-8fd5-de13101287a8,The Complicated Badger,/images/AlaebryllaAnshuga.png,Alaebrylla,Anshuga,Alaebrylla.Anshuga,3,8725551212,Alaebrylla.Anshuga@TheComplicatedBadger.com,Jyssa,Anuk,Jyssa.Anuk,2,8725551212,Jyssa.Anuk@TheComplicatedBadger.com
