userid,age,height,weight,heartratebpm,breathingrate,temperature,steps,velocity,altitude,ventilization,activity,cadence,speed,hib,heartrateredzone,heartratevariability,status,id,deviceid,messagetype,longitude,latitude,timestamp,eventprocessedutctime,partitionid,eventenqueuedutctime,companyname,imageurl,firstname,lastname,username,type,phone,email,gender,race
435942dd-be1f-4c8e-b63f-b26adfd308f8,36,73,223,92,17.63556196,96.839453401434909,0,11.7734070191245,0,16733.07128,0.143335552,4,0,0,0,4.40013548487013,1,30f24f0a-1264-4418-b5cf-fc15445345cd,6209705c-e8e8-4a68-8b9f-db5945670aed,4,-87.891584,41.894693,2017-03-07T21:00:01.5486334Z,2017-03-07T21:00:04.9477284Z,0,2017-03-07T21:00:04.9710000Z,The Complicated Badger,/images/ElolonnaDrahaua.png,Elolonna,Drahaua,Elolonna.Drahaua,3,8725551212,Elolonna.Drahaua@TheComplicatedBadger.com,2,4
fc540bfa-136a-4733-b87d-d6d20eeae310,57,73,235,90,17.3872044,96.828301802197615,0,0,0,16361.18,0.1303065,0,0,2,0,7.27537445402831,1,8be6c7c0-7a6d-4eef-9d80-f2cb6cd85b7b,257b8b85-71be-41dd-a14c-f7b62fdae437,4,-87.891584,41.894693,2017-03-07T21:00:01.5655654Z,2017-03-07T21:00:04.9477284Z,2,2017-03-07T21:00:04.1260000Z,The Complicated Badger,/images/JilonnaAnimesh.png,Jilonna,Animesh,Jilonna.Animesh,3,8725551212,Jilonna.Animesh@TheComplicatedBadger.com,2,3
51798043-860e-4e1f-8804-d6d72724b4a7,34,72,195,102,18.93943915,96.356244237328056,0,68.6232164054404,0,18685.5005,0.211738075,25,1,0,0,8.53480742917539,1,2bf394c6-095b-4ad0-89cd-f06789da0bdc,cc0ccbee-0c54-4d18-a027-2edd6e158c71,4,-87.891584,41.894693,2017-03-07T21:00:01.7439641Z,2017-03-07T21:00:05.1977326Z,2,2017-03-07T21:00:04.2980000Z,The Complicated Badger,/images/BreniverMardahaga.png,Breniver,Mardahaga,Breniver.Mardahaga,3,8725551212,Breniver.Mardahaga@TheComplicatedBadger.com,1,3
d7caa4ec-dc04-449a-bd5c-3b1dc19573c0,54,64,150,97,18.25645586,96.025009334099025,0,37.5883983001321,0,17662.79948,0.175908182,14,0,1,0,5.33327153919004,1,4b44ad57-345c-4183-ab87-6acf2029138e,f8e25324-9734-4f6b-b57f-9d6f30485e86,4,-87.891584,41.894693,2017-03-07T21:00:01.7720590Z,2017-03-07T21:00:05.1977326Z,1,2017-03-07T21:00:05.8820000Z,The Complicated Badger,/images/JillAniua.png,Jill,Aniua,Jill.Aniua,3,8725551212,Jill.Aniua@TheComplicatedBadger.com,2,2
7b335331-75a9-4c95-8fd5-de13101287a8,23,68,145,111,19.99495878,96.2924127472995,0,115.861711828532,0,20266.03844,0.267111546,42,1,0,0,6.15248789877987,1,92e2355b-3a8a-486f-bc81-f9dc8a0b51d1,fcafe651-f8a2-44d5-a6c1-7a5f2422bc00,4,-87.891584,41.894693,2017-03-07T21:00:05.2755070Z,2017-03-07T21:00:08.7162675Z,0,2017-03-07T21:00:08.7090000Z,The Complicated Badger,/images/AlaebryllaAnshuga.png,Alaebrylla,Anshuga,Alaebrylla.Anshuga,3,8725551212,Alaebrylla.Anshuga@TheComplicatedBadger.com,2,4
435942dd-be1f-4c8e-b63f-b26adfd308f8,36,73,223,92,17.63556196,96.630859905216312,0,11.8797565797779,0,16733.07128,0.143335552,4,0,0,0,4.36275323840451,1,1e4124f2-075c-405b-8e7c-dbfceca2b74c,6209705c-e8e8-4a68-8b9f-db5945670aed,4,-87.891584,41.894693,2017-03-07T21:00:06.8895498Z,2017-03-07T21:00:10.2944180Z,0,2017-03-07T21:00:10.3250000Z,The Complicated Badger,/images/ElolonnaDrahaua.png,Elolonna,Drahaua,Elolonna.Drahaua,3,8725551212,Elolonna.Drahaua@TheComplicatedBadger.com,2,4
fc540bfa-136a-4733-b87d-d6d20eeae310,57,73,235,90,17.3872044,96.8660393165732,0,0,0,16361.18,0.1303065,0,0,2,0,7.23145829491108,1,4c15b352-43e9-4140-8399-b59d618d0d92,257b8b85-71be-41dd-a14c-f7b62fdae437,4,-87.891584,41.894693,2017-03-07T21:00:06.8980013Z,2017-03-07T21:00:10.2944180Z,2,2017-03-07T21:00:09.4600000Z,The Complicated Badger,/images/JilonnaAnimesh.png,Jilonna,Animesh,Jilonna.Animesh,3,8725551212,Jilonna.Animesh@TheComplicatedBadger.com,2,3
d7caa4ec-dc04-449a-bd5c-3b1dc19573c0,54,64,150,97,18.31854525,96.869742701700773,0,40.7807093960694,0,17755.7723,0.179165445,15,0,1,0,5.33731067541525,1,30e30231-b284-4abd-bdb9-b533db4ea3c0,f8e25324-9734-4f6b-b57f-9d6f30485e86,4,-87.891584,41.894693,2017-03-07T21:00:07.6198863Z,2017-03-07T21:00:11.0443878Z,1,2017-03-07T21:00:11.7320000Z,The Complicated Badger,/images/JillAniua.png,Jill,Aniua,Jill.Aniua,3,8725551212,Jill.Aniua@TheComplicatedBadger.com,2,2
51798043-860e-4e1f-8804-d6d72724b4a7,34,72,195,102,18.93943915,96.3561840366368,0,68.5350104369756,0,18685.5005,0.211738075,25,1,0,0,8.64936271697725,1,fe03abd7-4581-4a6b-9395-0dfceda65a40,cc0ccbee-0c54-4d18-a027-2edd6e158c71,4,-87.891584,41.894693,2017-03-07T21:00:07.6842102Z,2017-03-07T21:00:11.1694090Z,2,2017-03-07T21:00:10.2410000Z,The Complicated Badger,/images/BreniverMardahaga.png,Breniver,Mardahaga,Breniver.Mardahaga,3,8725551212,Breniver.Mardahaga@TheComplicatedBadger.com,1,3
7b335331-75a9-4c95-8fd5-de13101287a8,23,68,145,111,20.05704817,96.225665993162281,0,117.610486093724,0,20359.01126,0.270368809,43,1,0,0,6.13019045158285,1,0745b8df-0376-44b8-bb6d-e4138d688df0,fcafe651-f8a2-44d5-a6c1-7a5f2422bc00,4,-87.891584,41.894693,2017-03-07T21:00:10.9921355Z,2017-03-07T21:00:14.4511127Z,0,2017-03-07T21:00:14.4210000Z,The Complicated Badger,/images/AlaebryllaAnshuga.png,Alaebrylla,Anshuga,Alaebrylla.Anshuga,3,8725551212,Alaebrylla.Anshuga@TheComplicatedBadger.com,2,4
